title,price_block,floor,layout,area,location,address,access,built_year,shiki,rei,link,score
カレラ伏見,"6.4万円
管理費等 5,000円",2階,1LDK,36.6m2,中央区南十九条西14,北海道札幌市中央区南十九条西14,ロープウェイ入口駅/札幌市電 徒歩1分以内 / 電車事業所前駅/札幌市電 徒歩4分,築6年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000004637143d05e4c37365b9dbbe6004239e1a7de6c/,2
札幌市電 ロープウェイ入口駅 5階建 築6年,"6.4万円
管理費等 5,000円",2階,1LDK,36.6m2,中央区南十九条西14,北海道札幌市中央区南十九条西14,ロープウェイ入口駅/札幌市電 徒歩1分以内 / 電車事業所前駅/札幌市電 徒歩6分,築6年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000004637143d05e4c37365b9dbbe6004239e1a7de6c/,2
札幌市電 ロープウェイ入口駅 5階建 築6年,"6.4万円
管理費等 5,000円",4階,1LDK,36.6m2,中央区南十九条西14,北海道札幌市中央区南十九条西14,ロープウェイ入口駅/札幌市電 徒歩1分以内 / 電車事業所前駅/札幌市電 徒歩6分,築6年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_0000046371432b293b771c3458d4f71e84969602ba80/,2
札幌市営地下鉄東西線 バスセンター前駅 地上5階建て 築13年,"5.5万円
管理費等 3,000円",4階,1DK,26.2m2,中央区南一条東003,北海道札幌市中央区南一条東003,バスセンター前駅/札幌市営地下鉄東西線 徒歩1分以内 / 大通駅/札幌市営地下鉄南北線 徒歩6分,築13年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000001123868b00e0b858f498a11eb6369e10cb79103/,2
KGコート,"7.5万円
管理費等 5,000円",14階,1LDK,35m2,中央区南七条西1,北海道札幌市中央区南七条西1,豊水すすきの駅/札幌市営地下鉄東豊線 徒歩1分以内 / すすきの駅/札幌市営地下鉄南北線 徒歩7分,築20年/地上15階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/00000141535565d424331cb3424b7de71ee9bc53f12c/,2
札幌市営地下鉄東豊線 豊水すすきの駅 15階建 築20年,"7.5万円
管理費等 5,000円",14階,1LDK,35m2,中央区南七条西1,北海道札幌市中央区南七条西1,豊水すすきの駅/札幌市営地下鉄東豊線 徒歩1分以内 / すすきの駅/札幌市営地下鉄南北線 徒歩7分,築20年/地上15階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_00000141535565d424331cb3424b7de71ee9bc53f12c/,2
札幌市営地下鉄東西線 バスセンター前駅 5階建 築21年,"4.9万円
管理費等 6,000円",5階,1LDK,32.04m2,中央区大通東3,北海道札幌市中央区大通東3,バスセンター前駅/札幌市営地下鉄東西線 徒歩1分以内 / 大通駅/札幌市営地下鉄南北線 徒歩5分,築21年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000001993513db63b91cc550ed240e808640462b84d7/,2
札幌市営地下鉄東西線 バスセンター前駅 5階建 築21年,"5.7万円
管理費等 6,000円",4階,1LDK,32.04m2,中央区大通東3,北海道札幌市中央区大通東3,バスセンター前駅/札幌市営地下鉄東西線 徒歩1分以内 / 大通駅/札幌市営地下鉄南北線 徒歩5分,築21年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000001993513207ac403110d81df50818b0cdfabe235/,2
札幌市電 西１５丁目駅 5階建 築3年,"6.8万円
管理費等 5,000円",2階,1LDK,36.55m2,中央区大通西14,北海道札幌市中央区大通西14,西１５丁目駅/札幌市電 徒歩2分 / 西１１丁目駅/札幌市営地下鉄東西線 徒歩5分,築3年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000007274777d99ac80c1a6a0e8abad9f6a255f5ff25/,2
札幌市電 静修学園前駅 5階建 築8年,"6.1万円
管理費等 5,000円",5階,1LDK,34.75m2,中央区南十七条西8,北海道札幌市中央区南十七条西8,静修学園前駅/札幌市電 徒歩2分 / 山鼻１９条駅/札幌市電 徒歩7分,築8年/地上5階建て/鉄筋コンクリート,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_0000025656594c955f80f30e211df0f4b893968c8556/,2
