title,price_block,floor,layout,area,location,address,access,built_year,shiki,rei,link,score
プレミストタワーズ札幌苗穂アクアゲート,"26万円
管理費等 20,000円",24階,2LDK,61.19m2,中央区北三条東11,北海道札幌市中央区北三条東11,苗穂駅/千歳線 徒歩1分以内 / バスセンター前駅/札幌市営地下鉄東西線 徒歩15分,築4年/地上25階建て,26万円,26万円,https://realestate.yahoo.co.jp/rent/detail/000006749280df77d1c4c4bc2967ae90d22e2bac22da/,0
プレミストタワーズ札幌苗穂アクアゲート,"26万円
管理費等 20,000円",24階,2LDK,63.18m2,中央区北三条東11,北海道札幌市中央区北三条東11,苗穂駅/千歳線 徒歩1分以内 / バスセンター前駅/札幌市営地下鉄東西線 徒歩15分,築4年/地上25階建て,26万円,26万円,https://realestate.yahoo.co.jp/rent/detail/00000674928029d4f76ab07fecba44c16d3a29105464/,0
ラフレ28,"9.5万円
管理費等 6,000円",4階,1LDK,45.26m2,中央区北五条西28,北海道札幌市中央区北五条西28,西２８丁目駅/札幌市営地下鉄東西線 徒歩1分以内 / 二十四軒駅/札幌市営地下鉄東西線 徒歩10分,築7年/地上9階建て,9.5万円,9.5万円,https://realestate.yahoo.co.jp/rent/detail/000003586208fb2a7d0e9d0151d4ee3f3283b9e92486/,0
ラフレ28,"9.7万円
管理費等 6,000円",6階,1LDK,45.26m2,中央区北五条西28,北海道札幌市中央区北五条西28,西２８丁目駅/札幌市営地下鉄東西線 徒歩1分以内 / 二十四軒駅/札幌市営地下鉄東西線 徒歩10分,築7年/地上9階建て,1ヶ月※,1ヶ月※,https://realestate.yahoo.co.jp/rent/detail/00000358620809e3e57e0e45972c70f1e0933859a760/,0
札幌市営地下鉄東西線 西１８丁目駅 8階建 築20年,"11.8万円
管理費等 5,000円",6階,2LDK,52.7m2,中央区大通西17,北海道札幌市中央区大通西17,西１８丁目駅/札幌市営地下鉄東西線 徒歩1分以内 / 西１５丁目駅/札幌市電 徒歩7分,築20年/地上8階建て,11.8万円,なし,https://realestate.yahoo.co.jp/rent/detail/_000002009714d0bddd14386c049bbf8ef4c04505ccdc/,1
札幌市営地下鉄東西線 西１８丁目駅 8階建 築20年,"6.3万円
管理費等 5,000円",8階,1LDK,30.72m2,中央区大通西17,北海道札幌市中央区大通西17,西１８丁目駅/札幌市営地下鉄東西線 徒歩1分以内 / 西１５丁目駅/札幌市電 徒歩7分,築20年/地上8階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_00000200971457cc1260616c5354336894e5594d1cb8/,2
プレミエール中島公園通,"5.7万円
管理費等 4,000円",4階,2LDK,46.51m2,中央区南十二条西6,北海道札幌市中央区南十二条西6,中島公園通駅/札幌市電 徒歩1分以内 / 行啓通駅/札幌市電 徒歩5分,築35年/地上8階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000002081266d29fa4be3bad5bb53a03eb12b0a88365/,2
プレミエール中島公園通,"5.7万円
管理費等 4,000円",4階,2DK,46.51m2,中央区南十二条西6,北海道札幌市中央区南十二条西6,中島公園通駅/札幌市電 徒歩1分以内 / 行啓通駅/札幌市電 徒歩5分,築35年/地上8階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/00000208126614a542f47c30276b86d0c83866b73465/,2
札幌市電 西線14条駅 地上7階建て 築37年,"3.4万円
管理費等 2,000円",2階,ワンルーム,20.89m2,中央区南十四条西015,北海道札幌市中央区南十四条西015,西線14条駅/札幌市電 徒歩1分以内 / 西線16条駅/札幌市電 徒歩6分,築37年/地上7階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_00000109430381836c853f36fe7c439dc9b72ab13efb/,2
札幌市電 西線14条駅 地上7階建て 築37年,"3.4万円
管理費等 2,000円",4階,ワンルーム,20.89m2,中央区南十四条西015,北海道札幌市中央区南十四条西015,西線14条駅/札幌市電 徒歩1分以内 / 西線16条駅/札幌市電 徒歩6分,築37年/地上7階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000001094303ddf1c2336433c9a3cb0bc564f7883713/,2
札幌市電 中島公園通駅 地上4階建て 築47年,"3.3万円
管理費等 なし",3階,1DK,25.2m2,中央区南十二条西007,北海道札幌市中央区南十二条西007,中島公園通駅/札幌市電 徒歩1分以内 / 中島公園駅/札幌市営地下鉄南北線 徒歩10分,築47年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000002994287751d9122584b27ec52b24d70e2e39efb/,2
札幌市営地下鉄東西線 西２８丁目駅 4階建 築13年,"5.1万円
管理費等 3,000円",4階,1LDK,27.95m2,中央区北四条西29,北海道札幌市中央区北四条西29,西２８丁目駅/札幌市営地下鉄東西線 徒歩2分 / 円山公園駅/札幌市営地下鉄東西線 徒歩10分,築13年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000008234880494e55a0a734ba3b984701582e162604/,2
ノースアージュ中島公園,"7.8万円
管理費等 6,500円",11階,2DK,46.59m2,中央区南十一条西006,北海道札幌市中央区南十一条西006,中島公園通駅/札幌市電 徒歩2分 / 山鼻9条駅/札幌市電 徒歩5分,築19年/地上11階建て,1ヶ月,なし,https://realestate.yahoo.co.jp/rent/detail/00000128730563242f8c2c3ac2146f816c621d14639f/,1
ノースアージュ中島公園,"7.8万円
管理費等 6,500円",11階,2LDK,46.59m2,中央区南十一条西006,北海道札幌市中央区南十一条西006,中島公園通駅/札幌市電 徒歩2分 / 山鼻9条駅/札幌市電 徒歩5分,築19年/地上11階建て,1ヶ月※,なし,https://realestate.yahoo.co.jp/rent/detail/0000012873056a522994a1f79b53370c83f1d074f78c/,1
MODULOR中島公園2nd,"6.5万円
管理費等 6,000円",3階,1LDK,32.86m2,中央区南十条西6,北海道札幌市中央区南十条西6,中島公園通駅/札幌市電 徒歩2分 / 山鼻９条駅/札幌市電 徒歩3分,築20年/地上4階建て,なし,6.5万円,https://realestate.yahoo.co.jp/rent/detail/000002770955dac6888d9277acc4d5eaca0dc989f070/,1
MODULOR中島公園2nd,"5.5万円
管理費等 4,000円",4階,1LDK,31.48m2,中央区南十条西6,北海道札幌市中央区南十条西6,中島公園通駅/札幌市電 徒歩2分 / 山鼻９条駅/札幌市電 徒歩3分,築20年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000002770955e0344c33deac5b24d6f7095dbcd710a2/,2
RISING　BLDG,"3.3万円
管理費等 3,000円",3階,1DK,29.76m2,中央区南九条西016,北海道札幌市中央区南九条西016,西線9条旭山公園通駅/札幌市電 徒歩2分 / 西線９条旭山公園通駅/札幌市電 徒歩2分,築31年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000005593286b5d481e6f53f16c0a8e6f3870d12bce0/,2
RISING　BLDG,"5.2万円
管理費等 4,000円",4階,2LDK,35m2,中央区南九条西016,北海道札幌市中央区南九条西016,西線9条旭山公園通駅/札幌市電 徒歩2分 / 西線９条旭山公園通駅/札幌市電 徒歩2分,築31年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000005593286e1842b6cb588a9afb8266b54bf695396/,2
札幌市電 山鼻９条駅 6階建 築37年,"3万円
管理費等 4,000円",4階,1K,20m2,中央区南十条西6,北海道札幌市中央区南十条西6,山鼻９条駅/札幌市電 徒歩2分 / 中島公園通駅/札幌市電 徒歩3分,築37年/地上6階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/_000001798586b1ec354135600c3566a4e92eb5ad1cdf/,2
シティノースワン,"4万円
管理費等 2,000円",1階,1K,27.54m2,中央区大通東5,北海道札幌市中央区大通東5,バスセンター前駅/札幌市営地下鉄東西線 徒歩2分 / 大通駅/札幌市営地下鉄南北線 徒歩10分,築37年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000001495730f41121f26fdf8df54a9c285f82f1d201/,2
シティノースワン,"4.1万円
管理費等 2,000円",2階,1K,30.81m2,中央区大通東5,北海道札幌市中央区大通東5,バスセンター前駅/札幌市営地下鉄東西線 徒歩2分 / 大通駅/札幌市営地下鉄南北線 徒歩10分,築37年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/0000014957303e19abdbbdca70c47f86bc8ad85e3938/,2
ジュネス大通,"5万円
管理費等 4,000円",2階,1LDK,30.5m2,中央区大通東5,北海道札幌市中央区大通東5,バスセンター前駅/札幌市営地下鉄東西線 徒歩2分 / 大通駅/札幌市営地下鉄南北線 徒歩10分,築39年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/0000018945194277418fcb28cb327d6040481756efe3/,2
ジュネス大通,"5万円
管理費等 4,000円",2階,1LDK,36.12m2,中央区大通東5,北海道札幌市中央区大通東5,バスセンター前駅/札幌市営地下鉄東西線 徒歩2分 / 大通駅/札幌市営地下鉄南北線 徒歩10分,築39年/地上4階建て,なし,なし,https://realestate.yahoo.co.jp/rent/detail/000001894519213828c98d46a25a89fc52270c549b16/,2
